# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	42928
#@/user_id	ab7a14e5-ae21-41f1-b36e-b856550d5341
a 	啊	c=63 d=0.402358 t=42928
hen kuai 	很快	c=1 d=4.70971e-25 t=42928
hen lao 	很老	c=1 d=1.56395e-26 t=42928
hen ming xian 	很明顯	c=1 d=1 t=41806
hen qi guai 	很奇怪	c=3 d=7.62421e-45 t=42928
hen qing chu 	很清楚	c=2 d=1.95118e-11 t=42928
hen qing xi 	很清晰	c=1 d=1.12081e-77 t=42928
hen shou 	很受	c=1 d=2.85261e-38 t=42928
hen wan 	很晚	c=1 d=4.90761e-68 t=42928
hen xiao 	很小	c=3 d=2.69261e-06 t=42928
hen you 	很有	c=2 d=0.000110003 t=42928
hen zao 	很早	c=1 d=6.89867e-45 t=42928
hong 	宏	c=1 d=2.68329e-24 t=42928
hong 	紅	c=1 d=9.85447e-05 t=42928
hong bao 	紅包	c=1 d=4.35146e-06 t=42928
hong kuang 	紅框	c=1 d=1.02434e-77 t=42928
hong mao 	紅帽	c=2 d=1.71718e-08 t=42928
hong qi 	紅旗	c=1 d=6.87479e-63 t=42928
hong se 	紅色	c=1 d=6.62613e-12 t=42928
hou 	厚	c=0 d=7.09502e-82 t=42928
hou 	後	c=22 d=0.213318 t=42928
hou duan 	後端	c=7 d=4.03141e-19 t=42928
hou lai 	後來	c=14 d=3.92786e-07 t=42928
hou mian 	後面	c=51 d=0.00600598 t=42928
hou qi 	後期	c=4 d=0.00794669 t=42928
hou shang 	後上	c=4 d=1.30812e-42 t=42928
hou tai 	後臺	c=20 d=5.15498e-05 t=42928
hou tian 	後天	c=2 d=1.32427e-31 t=42928
hou tong 	後同	c=1 d=4.03184e-79 t=42928
hou xie 	厚鞋	c=1 d=7.42158e-81 t=42928
hou xu 	後續	c=8 d=0.0333733 t=42928
hou zhe 	後者	c=1 d=1.19755e-62 t=42928
hou zhui 	後綴	c=3 d=7.12376e-11 t=42928
hu bu 	互不	c=1 d=3.89197e-46 t=42928
hu kou 	戶口	c=1 d=5.55083e-17 t=42928
hu lve 	忽略	c=5 d=0.000485705 t=42928
hu nong 	糊弄	c=1 d=2.05325e-52 t=42928
hu rang 	互讓	c=1 d=9.49035e-62 t=42928
hu ren 	唬人	c=1 d=5.80415e-42 t=42928
hu xiang 	互相	c=1 d=6.22268e-67 t=42928
hua 	化	c=2 d=0.427415 t=42928
hua 	畫	c=3 d=3.46635e-07 t=42928
hua 	花	c=2 d=3.32238e-09 t=42928
hua 	話	c=30 d=2.97579e-06 t=42928
hua bu liao 	花不了	c=1 d=1 t=39485
hua dian 	花點	c=1 d=1.53006e-34 t=42928
hua dian qian 	花點錢	c=1 d=1.53773e-33 t=42928
hua fen 	劃分	c=1 d=1 t=42271
hua hen 	劃痕	c=1 d=0.000349153 t=42928
hua hua 	花花	c=1 d=2.13384e-05 t=42928
hua le 	畫了	c=1 d=1 t=41191
hua le 	花了	c=2 d=4.35043e-62 t=42928
hua lian 	華聯	c=1 d=2.53874e-49 t=42928
hua qian 	花錢	c=2 d=1.56586e-11 t=42928
hua wo men 	話我們	c=1 d=2.31275e-11 t=42928
huai 	壞	c=3 d=4.54077e-07 t=42928
huai le 	壞了	c=2 d=1.42395e-11 t=42928
huai yi 	懷疑	c=3 d=9.32763e-24 t=42928
huai yi ren sheng 	懷疑人生	c=1 d=9.34141e-23 t=42928
huan 	換	c=10 d=3.57128e-05 t=42928
huan 	環	c=1 d=1.00269e-61 t=42928
huan 	還	c=1 d=2.23382e-73 t=42928
huan ban 	換班	c=1 d=1.05633e-27 t=42928
huan che 	換車	c=1 d=4.80159e-17 t=42928
huan cheng 	換成	c=4 d=5.19884e-11 t=42928
huan cun 	緩存	c=9 d=1.41718e-06 t=42928
huan hang 	換行	c=8 d=0.00246639 t=42928
huan jie 	環節	c=1 d=0.00852289 t=42928
huan jing 	環境	c=29 d=0.0761127 t=42928
huan ying 	歡迎	c=2 d=7.56274e-38 t=42928
huan zhai 	還債	c=1 d=3.55094e-26 t=42928
huan zhe 	患者	c=1 d=1.38941e-75 t=42928
huang jin 	黃金	c=1 d=7.10393e-37 t=42928
huang se 	黃色	c=2 d=3.47815e-47 t=42928
hui 	回	c=6 d=2.69912e-05 t=42928
hui 	會	c=117 d=0.565525 t=42928
hui ba 	會把	c=1 d=1 t=41116
hui bao 	彙報	c=4 d=0.000270095 t=42928
hui bu hui 	會不會	c=3 d=6.25215e-05 t=42928
hui che 	回車	c=1 d=5.17291e-11 t=42928
hui dao 	回到	c=5 d=1.76917e-06 t=42928
hui diao 	回調	c=4 d=1.05053e-24 t=42928
hui du 	灰度	c=1 d=1.71566e-27 t=42928
hui fu 	回覆	c=10 d=9.90555e-07 t=42928
hui fu 	恢復	c=9 d=0.329545 t=42928
hui gu 	回顧	c=2 d=2.00417e-29 t=42928
hui gun 	回滾	c=1 d=2.8856e-85 t=42928
hui jia 	回家	c=12 d=8.85233e-09 t=42928
hui lai 	回來	c=9 d=7.79331e-09 t=42928
hui long guan 	回龍觀	c=3 d=3.71839e-23 t=42928
hui min 	會敏	c=2 d=1.6762e-18 t=42928
hui qian 	會籤	c=1 d=0.0116203 t=42928
hui qu 	回去	c=2 d=9.11077e-23 t=42928
hui se 	灰色	c=1 d=2.12972e-41 t=42928
hui se de 	灰色的	c=1 d=4.68368e-48 t=42928
hui shen me 	會什麼	c=1 d=5.95736e-25 t=42928
hui tou 	回頭	c=3 d=5.44091e-17 t=42928
hui yi 	會議	c=1 d=4.38221e-30 t=42928
hui yi jing shen 	會議精神	c=1 d=1.39685e-79 t=42928
hui you 	會有	c=1 d=2.6528e-66 t=42928
hui zong 	彙總	c=1 d=0.000837575 t=42928
hun 	混	c=0 d=1.21887e-06 t=42928
hun dong che 	混動車	c=1 d=3.91347e-52 t=42928
hun ge 	混個	c=1 d=1.19474e-05 t=42928
hun luan 	混亂	c=4 d=6.72856e-16 t=42928
hun sheng huo 	混生活	c=1 d=1.22498e-05 t=42928
hun yu 	婚育	c=2 d=1.56522e-22 t=42928
huo 	或	c=16 d=0.174645 t=42928
huo 	活	c=0 d=3.3471e-08 t=42928
huo che 	貨車	c=3 d=7.53656e-56 t=42928
huo de 	獲得	c=1 d=2.99937e-40 t=42928
huo er 	活兒	c=1 d=1.07987e-51 t=42928
huo hai 	禍害	c=1 d=5.44334e-81 t=42928
huo hu 	火狐	c=2 d=7.62965e-24 t=42928
huo mian 	豁免	c=23 d=9.19777e-14 t=42928
huo qu 	獲取	c=21 d=0.0808629 t=42928
huo qu dao 	獲取到	c=1 d=2.74598e-31 t=42928
huo zhe 	或者	c=21 d=1.03408e-05 t=42928
huo zhe shuo 	或者說	c=2 d=0.149569 t=42928
ji 	劑	c=1 d=7.63639e-05 t=42928
ji 	即	c=5 d=5.81667e-38 t=42928
ji 	及	c=1 d=1.24384e-67 t=42928
ji 	幾	c=3 d=3.62107e-12 t=42928
ji 	既	c=1 d=5.93755e-74 t=42928
ji 	機	c=14 d=0.422392 t=42928
ji 	級	c=1 d=2.72857e-15 t=42928
ji 	記	c=3 d=3.86873e-05 t=42928
ji 	雞	c=1 d=2.331e-74 t=42928
ji bai 	幾百	c=1 d=2.39579e-73 t=42928
ji bai kuai 	幾百塊	c=0 d=0.1 t=40155
ji bai kuai qian 	幾百塊錢	c=1 d=1 t=40156
ji ben 	基本	c=14 d=0.0152755 t=42928
ji ben shang 	基本上	c=4 d=4.34096e-07 t=42928
ji bi ji 	記筆記	c=1 d=2.01116e-73 t=42928
ji bian 	即便	c=4 d=6.53467e-16 t=42928
ji bie 	級別	c=1 d=1.70821e-64 t=42928
ji bu zhu 	記不住	c=1 d=5.89488e-48 t=42928
ji chi 	雞翅	c=2 d=6.24989e-68 t=42928
ji chu 	基礎	c=12 d=0.754783 t=42928
ji chu shang 	基礎上	c=1 d=1.5404e-24 t=42928
ji ci 	幾次	c=1 d=8.74701e-73 t=42928
ji dan 	雞蛋	c=1 d=6.15907e-05 t=42928
ji de 	記得	c=2 d=2.49805e-06 t=42928
ji di 	極低	c=1 d=1 t=40710
ji dian 	幾點	c=3 d=2.84834e-30 t=42928
ji ding 	既定	c=2 d=1.23937e-54 t=42928
ji fang 	機房	c=2 d=6.02646e-43 t=42928
ji fen zhong 	幾分鐘	c=1 d=0.161218 t=42928
ji feng 	幾封	c=1 d=5.02687e-27 t=42928
ji ge 	幾個	c=22 d=0.0358796 t=42928
ji ge tong shi 	幾個同事	c=1 d=0.360595 t=42928
ji ge yue 	幾個月	c=0 d=0.1 t=41589
ji ge yue qian 	幾個月前	c=1 d=1 t=41590
ji guo 	記過	c=0 d=7.0402e-79 t=42928
ji hang 	幾行	c=1 d=2.31472e-21 t=42928
ji he 	集合	c=3 d=3.37166e-53 t=42928
ji hen 	記恨	c=1 d=1 t=40060
ji hu 	幾乎	c=2 d=1.67074e-09 t=42928
ji hua 	計劃	c=5 d=0.000141247 t=42928
ji hui 	機會	c=2 d=2.06319e-50 t=42928
ji huo ma 	激活碼	c=1 d=0.222017 t=42928
ji ji 	幾級	c=1 d=1.17996e-35 t=42928
ji ji xing 	積極性	c=1 d=4.44163e-12 t=42928
ji ke 	即可	c=16 d=0.00767367 t=42928
ji kou 	忌口	c=1 d=4.56275e-05 t=42928
ji lei 	積累	c=1 d=2.14083e-14 t=42928
ji lei 	雞肋	c=1 d=6.13546e-48 t=42928
ji lian 	級聯	c=5 d=5.62148e-11 t=42928
ji lu 	記錄	c=34 d=8.84276e-05 t=42928
ji lv 	機率	c=2 d=1.08251e-21 t=42928
ji mi 	機密	c=1 d=1 t=41896
ji ni 	雞你	c=1 d=7.05362e-71 t=42928
ji nian 	幾年	c=2 d=3.18701e-48 t=42928
ji qi 	及其	c=6 d=4.12635e-28 t=42928
ji qi 	機器	c=52 d=3.45114 t=42928
ji qi xue xi 	機器學習	c=6 d=0.000143382 t=42928
ji qiao 	技巧	c=1 d=4.5766e-70 t=42928
ji qun 	集羣	c=13 d=2.72319e-07 t=42928
ji ran 	既然	c=4 d=0.0514657 t=42928
ji ri zhi 	記日誌	c=2 d=4.89359e-05 t=42928
ji shen 	機審	c=1 d=1.60955e-70 t=42928
ji shi 	及時	c=9 d=0.900325 t=42928
ji shi 	幾十	c=0 d=0.1 t=40064
ji shi kuai qian 	幾十塊錢	c=1 d=1 t=40065
ji shu 	技術	c=19 d=0.00591656 t=42928
ji shu fu ze ren 	技術負責人	c=1 d=1.0501e-75 t=42928
ji shui 	積水	c=0 d=4.70171e-06 t=42928
ji shui tan 	積水潭	c=1 d=4.72527e-05 t=42928
ji suan 	計算	c=10 d=5.80162e-29 t=42928
ji suan ji 	計算機	c=0 d=7.7019e-77 t=42928
ji suan ji de 	計算機的	c=1 d=7.74051e-76 t=42928
ji suo 	幾所	c=1 d=2.81654e-06 t=42928
ji tai 	幾臺	c=3 d=1.05729e-08 t=42928
ji tang 	幾趟	c=1 d=2.72625e-05 t=42928
ji tian 	幾天	c=3 d=3.07259e-59 t=42928
ji tiao 	幾條	c=1 d=1.62888e-34 t=42928
ji tong 	幾通	c=1 d=2.08832e-16 t=42928
ji xia 	幾下	c=1 d=6.76415e-78 t=42928
ji xia lai 	記下來	c=1 d=3.43629e-81 t=42928
ji xiao 	績效	c=2 d=2.23825e-29 t=42928
ji xing 	疾行	c=0 d=3.56741e-52 t=42928
ji xing ke 	疾行客	c=2 d=1.03414e-42 t=42928
ji xu 	繼續	c=7 d=6.34772e-07 t=42928
ji ya 	擠壓	c=1 d=6.40892e-61 t=42928
ji yi 	記憶	c=1 d=2.63248e-06 t=42928
ji yi li 	記憶裏	c=1 d=2.64567e-05 t=42928
ji yu 	基於	c=15 d=0.000629874 t=42928
ji zhang 	幾張	c=0 d=1.67672e-52 t=42928
ji zhi 	機制	c=2 d=0.0113334 t=42928
ji zhong nan fan 	積重難返	c=1 d=4.42474e-26 t=42928
ji zhu 	記住	c=1 d=1.32719e-36 t=42928
jia 	假	c=2 d=4.6475e-45 t=42928
jia 	加	c=61 d=0.219197 t=42928
jia 	家	c=3 d=2.73991e-05 t=42928
jia ban 	加班	c=26 d=0.0152776 t=42928
jia ban fei 	加班費	c=3 d=2.37084e-07 t=42928
jia bu jia 	加不加	c=1 d=6.72627e-12 t=42928
jia da 	加大	c=1 d=1.81952e-42 t=42928
jia dao 	加到	c=1 d=6.2754e-78 t=42928
jia ge 	價格	c=3 d=0.00275485 t=42928
jia ge 	加個	c=9 d=0.00396599 t=42928
jia gou 	架構	c=8 d=0.106674 t=42928
jia gou tu 	架構圖	c=3 d=5.68922e-42 t=42928
jia hao 	加號	c=1 d=5.92059e-11 t=42928
jia le 	加了	c=12 d=0.0888382 t=42928
jia li 	家裏	c=1 d=7.64915e-54 t=42928
jia mi 	加密	c=1 d=4.94445e-09 t=42928
jia qi lai 	加起來	c=2 d=5.02345e-19 t=42928
jia qiang 	加強	c=1 d=1.1445e-29 t=42928
jia ru 	加入	c=4 d=0.229925 t=42928
jia shang 	加上	c=41 d=0.0802415 t=42928
jia shi 	架勢	c=1 d=9.04192e-22 t=42928
jia wei 	家委	c=3 d=1.5882e-75 t=42928
jia zhang 	家長	c=1 d=1.70529e-75 t=42928
jia zhang qun 	家長羣	c=1 d=1.15177e-74 t=42928
jia zhi 	價值	c=1 d=9.55967e-30 t=42928
jia zhong 	加重	c=7 d=2.55197e-14 t=42928
jia zhuang 	假裝	c=1 d=1.12516e-05 t=42928
jian 	建	c=34 d=0.0798934 t=42928
jian 	減	c=1 d=3.88138e-14 t=42928
jian 	濺	c=1 d=8.75027e-48 t=42928
jian 	煎	c=0 d=4.82976e-28 t=42928
jian 	見	c=4 d=1.20715e-09 t=42928
jian 	鍵	c=1 d=7.49386e-48 t=42928
jian biao 	建表	c=3 d=0.00615802 t=42928
jian ce 	檢測	c=110 d=2.65949 t=42928
jian cha 	檢查	c=7 d=6.06852e-05 t=42928
jian cheng 	簡稱	c=1 d=2.47572e-18 t=42928
jian chi 	堅持	c=1 d=3.77489e-69 t=42928
jian dan 	簡單	c=15 d=0.0833256 t=42928
jian dan dian 	簡單點	c=1 d=1.16544e-07 t=42928
jian du yuan 	監督員	c=1 d=9.24314e-75 t=42928
jian hua 	簡化	c=3 d=0.00331341 t=42928
jian ju 	間距	c=1 d=1.80136e-71 t=42928
jian kong 	監控	c=22 d=0.206331 t=42928
jian le 	建了	c=1 d=1.59196e-29 t=42928
jian li 	建立	c=1 d=0.011109 t=42928
jian ming 	簡明	c=1 d=6.21084e-74 t=42928
jian niu pai 	煎牛排	c=1 d=4.85397e-27 t=42928
jian pan 	鍵盤	c=5 d=6.53992e-05 t=42928
jian qing 	減輕	c=1 d=0.00134011 t=42928
jian quan 	鑑權	c=1 d=2.96751e-32 t=42928
jian ren wu 	建任務	c=1 d=5.38001e-61 t=42928
jian rong 	兼容	c=3 d=4.79572e-32 t=42928
jian ru 	鍵入	c=3 d=6.6814e-68 t=42928
jian shao 	減少	c=1 d=7.58127e-08 t=42928
jian she 	建設	c=1 d=3.32351e-12 t=42928
jian ti 	簡體	c=1 d=3.70783e-64 t=42928
jian ting 	監聽	c=4 d=1.81308e-11 t=42928
jian wan 	建完	c=1 d=7.53118e-77 t=42928
jian wei 	鍵位	c=1 d=1 t=39328
jian xiao 	見效	c=0 d=3.46574e-06 t=42928
jian xiao 	見笑	c=1 d=1 t=39939
jian yi 	建議	c=15 d=0.00704808 t=42928
jian zhi 	簡直	c=6 d=1.50007e-06 t=42928
jiang 	將	c=34 d=1.507 t=42928
jiang 	蔣	c=1 d=2.96338e-45 t=42928
jiang 	講	c=6 d=1.57718e-06 t=42928
jiang dao 	降到	c=1 d=8.84875e-62 t=42928
jiang di 	降低	c=6 d=8.32945e-27 t=42928
jiang hua 	講話	c=1 d=1.56634e-44 t=42928
jiang ji 	降級	c=1 d=2.94668e-08 t=42928
jiang jin 	獎金	c=4 d=1.49045e-10 t=42928
jiang luo san 	降落傘	c=1 d=1 t=40092
jiang qi 	將其	c=1 d=1.41555e-59 t=42928
jiang shi 	將是	c=1 d=8.81811e-80 t=42928
jiang shi 	殭屍	c=1 d=8.86231e-80 t=42928
jiang si 	僵死	c=1 d=8.13071e-37 t=42928
jiang yu 	將於	c=1 d=5.35956e-75 t=42928
jiao 	交	c=2 d=1.59858e-19 t=42928
jiao 	叫	c=4 d=2.02359e-05 t=42928
jiao 	腳	c=2 d=2.26618e-07 t=42928
jiao 	覺	c=0 d=2.09409e-20 t=42928
jiao an 	教案	c=1 d=1.73084e-13 t=42928
jiao ao 	驕傲	c=2 d=1.31824e-74 t=42928
jiao ben 	腳本	c=9 d=3.65924e-07 t=42928
jiao cha 	交叉	c=3 d=3.45771e-46 t=42928
jiao che 	轎車	c=1 d=8.20238e-52 t=42928
jiao cheng 	教程	c=1 d=8.20491e-85 t=42928
jiao da 	較大	c=5 d=5.11542e-16 t=42928
jiao du 	角度	c=2 d=1.05651e-29 t=42928
jiao hu 	交互	c=0 d=0.1 t=42281
jiao ji 	交集	c=3 d=1.09018e-45 t=42928
jiao ji 	焦急	c=1 d=2.37978e-53 t=42928
jiao le 	叫了	c=1 d=4.20537e-16 t=42928
jiao liu 	交流	c=1 d=5.60738e-48 t=42928
jiao ni 	叫你	c=1 d=1.08064e-30 t=42928
jiao ni 	教你	c=1 d=1.07525e-30 t=42928
jiao qing 	矯情	c=1 d=2.86602e-05 t=42928
jiao shi 	教師	c=1 d=1.54255e-11 t=42928
jiao wei 	教委	c=3 d=5.08759e-19 t=42928
jiao wo 	叫我	c=3 d=7.0991e-29 t=42928
jiao xiao 	較小	c=1 d=2.70841e-16 t=42928
jiao yan 	校驗	c=3 d=2.88088e-07 t=42928
jiao yu 	教育	c=0 d=9.88102e-67 t=42928
jiao yu yong hu 	教育用戶	c=1 d=9.93055e-66 t=42928
jie 	借	c=0 d=1.2635e-76 t=42928
jie 	姐	c=1 d=1.16524e-05 t=42928
jie 	截	c=0 d=1.67672e-52 t=42928
jie 	接	c=28 d=0.00313643 t=42928
jie 	結	c=1 d=5.42098e-62 t=42928
jie bei 	借唄	c=1 d=1.36519e-74 t=42928
jie chu 	接觸	c=2 d=5.04262e-05 t=42928
jie chu 	解除	c=24 d=0.00311976 t=42928
jie chu lai 	解出來	c=2 d=4.4085e-72 t=42928
jie dao 	接到	c=1 d=1 t=40254
jie dian 	節點	c=1 d=1.39647e-17 t=42928
jie duan 	截斷	c=1 d=1.28635e-80 t=42928
jie gei 	借給	c=1 d=9.75081e-57 t=42928
jie gou 	結構	c=4 d=3.42347e-25 t=42928
jie gou ti 	結構提	c=2 d=7.46561e-84 t=42928
jie gou ti 	結構體	c=4 d=1.52141e-83 t=42928
jie guo 	接過	c=2 d=4.77726e-84 t=42928
jie guo 	結果	c=103 d=2.6726 t=42928
jie hun 	結婚	c=6 d=1.43805e-05 t=42928
jie hun le 	結婚了	c=1 d=1.41979e-06 t=42928
jie ji zhang tu 	截幾張圖	c=1 d=1.68512e-51 t=42928
jie jin 	接近	c=2 d=1.3587e-18 t=42928
jie jin lai 	接進來	c=1 d=4.00832e-69 t=42928
jie jiu 	戒酒	c=1 d=2.23244e-07 t=42928
jie jue 	解決	c=52 d=1.19256 t=42928
jie kou 	接口	c=207 d=0.00586691 t=42928
jie kou ren 	接口人	c=1 d=1.05536e-75 t=42928
jie le 	接了	c=2 d=4.03841e-10 t=42928
jie long 	接龍	c=1 d=3.53492e-61 t=42928
jie lun 	結論	c=3 d=5.24021e-16 t=42928
jie mian 	界面	c=2 d=2.29566e-12 t=42928
jie ni 	接你	c=1 d=8.46685e-43 t=42928
jie ou 	接偶	c=1 d=1 t=42617
jie ou 	解耦	c=1 d=1 t=42618
jie ping 	截屏	c=1 d=1.73644e-51 t=42928
jie qian 	借錢	c=1 d=1.47036e-06 t=42928
jie ru 	介入	c=2 d=2.24349e-65 t=42928
jie ru 	接入	c=87 d=1.24588 t=42928
jie shao 	介紹	c=4 d=0.000268671 t=42928
jie shi 	解釋	c=7 d=0.722527 t=42928
jie shou 	接受	c=1 d=1.07741e-83 t=42928
jie shou 	接收	c=11 d=0.153016 t=42928
jie shu 	結束	c=10 d=0.047843 t=42928
jie shu ju 	接數據	c=1 d=1.25403e-16 t=42928
jie suo 	解鎖	c=1 d=0.839457 t=42928
jie tu 	截圖	c=7 d=2.00608e-06 t=42928
jie xi 	解析	c=9 d=2.26579e-05 t=42928
jie xia lai 	接下來	c=1 d=0.000367055 t=42928
jie xian 	界限	c=1 d=2.63007e-53 t=42928
jie ya 	解壓	c=2 d=2.19995e-11 t=42928
jie yi ge 	接一個	c=1 d=1.07503e-57 t=42928
jie zou 	節奏	c=1 d=8.68091e-72 t=42928
jin 	盡	c=1 d=5.69195e-77 t=42928
jin 	緊	c=0 d=7.84546e-59 t=42928
jin 	近	c=1 d=3.26947e-26 t=42928
jin 	進	c=39 d=4.18978e-08 t=42928
jin cheng 	進程	c=40 d=1.89993 t=42928
jin cheng shu 	進程數	c=2 d=1.00001 t=42877
jin ci er yi 	僅此而已	c=1 d=2.51528e-28 t=42928
jin cou 	緊湊	c=1 d=6.88321e-48 t=42928
jin du 	進度	c=18 d=1.32581 t=42928
jin er 	進而	c=1 d=2.73842e-28 t=42928
jin fang 	禁訪	c=2 d=8.53562e-42 t=42928
jin hua 	進化	c=1 d=1 t=42327
jin huo 	進貨	c=1 d=1.25719e-75 t=42928
jin ji 	緊急	c=6 d=0.00726273 t=42928
jin jin 	僅僅	c=2 d=9.40332e-73 t=42928
jin jing 	靳靜	c=4 d=1.56315e-20 t=42928
jin jing zheng 	進京證	c=2 d=1.09739e-16 t=42928
jin ke neng 	儘可能	c=1 d=1.51974e-71 t=42928
jin kuai 	儘快	c=10 d=1.88811e-26 t=42928
jin lai 	進來	c=8 d=3.27337e-39 t=42928
jin liang 	儘量	c=0 d=8.80818e-09 t=42928
jin nian 	今年	c=2 d=1.67017e-05 t=42928
jin qi 	近期	c=1 d=7.80899e-62 t=42928
jin ri 	今日	c=2 d=1.10661e-37 t=42928
jin ru 	進入	c=8 d=0.0812682 t=42928
jin shan 	金山	c=2 d=2.36204e-05 t=42928
jin shu ju 	進數據	c=1 d=1.94735e-76 t=42928
jin tian 	今天	c=72 d=1.55061 t=42928
jin tian zao shang 	今天早上	c=1 d=1.58537e-39 t=42928
jin wan 	今晚	c=3 d=1.75216e-10 t=42928
jin xing 	進行	c=26 d=0.351203 t=42928
jin yong 	禁用	c=1 d=3.8249e-18 t=42928
jin zhan 	進展	c=3 d=7.77451e-10 t=42928
jin zhang 	緊張	c=1 d=1.87462e-40 t=42928
jing 	京	c=2 d=8.82948e-07 t=42928
jing 	經	c=1 d=6.52817e-72 t=42928
jing chang 	經常	c=5 d=9.51553e-05 t=42928
jing dai 	驚呆	c=1 d=1.95245e-48 t=42928
jing dian 	靜電	c=0 d=2.54653e-86 t=42928
jing dian rong 	靜電容	c=1 d=2.5593e-85 t=42928
jing dong 	京東	c=1 d=0.00192083 t=42928
jing dong 	驚動	c=1 d=0.00191125 t=42928
jing guo 	經過	c=3 d=8.85807e-45 t=42928
jing pai 	京牌	c=4 d=0.00310325 t=42928
jing ran 	京然	c=6 d=5.74595e-09 t=42928
jing ran 	竟然	c=4 d=0.904837 t=42928
jing xi 	驚喜	c=1 d=1 t=40042
jing xiang 	鏡像	c=14 d=0.873967 t=42928
jing xin 	精心	c=1 d=3.68694e-27 t=42928
jing yan 	經驗	c=6 d=1.43597e-51 t=42928
jing zheng 	京證	c=1 d=5.22919e-17 t=42928
jing zhui bing 	頸椎病	c=1 d=1 t=41004
jing zi 	鏡子	c=1 d=3.47035e-50 t=42928
jiu 	久	c=1 d=1.95085e-09 t=42928
jiu 	就	c=253 d=0.160093 t=42928
jiu 	舊	c=1 d=5.50103e-58 t=42928
jiu 	酒	c=0 d=8.8967e-09 t=42928
jiu ba 	就把	c=1 d=1.46543e-84 t=42928
jiu bu 	就不	c=0 d=1.08116e-66 t=42928
jiu bu yao 	就不要	c=1 d=1.08658e-65 t=42928
jiu cha 	就差	c=2 d=1.79621e-08 t=42928
jiu dei 	就得	c=4 d=2.22819e-14 t=42928
jiu dian 	九點	c=2 d=4.30164e-18 t=42928
jiu dian duo 	九點多	c=1 d=4.32299e-17 t=42928
jiu guo lai 	就過來	c=1 d=1.59777e-13 t=42928
jiu hui 	就會	c=1 d=1.75479e-57 t=42928
jiu jie 	糾結	c=2 d=1.48899e-07 t=42928
jiu jin shan 	舊金山	c=1 d=3.95777e-08 t=42928
jiu kan 	就看	c=1 d=9.21017e-33 t=42928
jiu ke yi 	就可以	c=1 d=2.07897e-22 t=42928
jiu neng 	就能	c=3 d=5.3823e-07 t=42928
jiu pa 	就怕	c=1 d=9.7306e-62 t=42928
jiu qu 	就去	c=1 d=1 t=41783
jiu shi 	就是	c=90 d=0.158053 t=42928
jiu wan 	九晚	c=0 d=8.02604e-62 t=42928
jiu wan dan 	九晚但	c=1 d=8.06627e-61 t=42928
jiu wei 	就位	c=1 d=2.37566e-62 t=42928
jiu xing 	就行	c=27 d=0.000221519 t=42928
jiu xing le 	就行了	c=1 d=4.19067e-63 t=42928
jiu yao 	就要	c=2 d=1.4502e-20 t=42928
jiu ying gai 	就應該	c=1 d=1 t=42503
jiu you 	就有	c=1 d=7.1422e-12 t=42928
jiu zhe me 	就這麼	c=1 d=1 t=40009
ju 	句	c=0 d=5.28174e-51 t=42928
ju bao 	舉報	c=2 d=1.99501 t=42917
ju can 	聚餐	c=2 d=1.4559e-08 t=42928
ju chang 	劇場	c=0 d=9.7977e-85 t=42928
ju ge 	舉個	c=1 d=1.46577e-28 t=42928
ju he 	聚合	c=5 d=0.000384607 t=42928
ju jue 	拒絕	c=1 d=1.03933e-42 t=42928
ju le bu 	俱樂部	c=1 d=3.56328e-08 t=42928
ju li 	距離	c=3 d=0.00177009 t=42928
ju ti 	具體	c=35 d=0.0240868 t=42928
ju wei hui 	居委會	c=2 d=1.83448e-23 t=42928
ju wo 	據我	c=1 d=6.05377e-08 t=42928
ju xian 	侷限	c=1 d=1 t=42760
ju zhu 	居住	c=0 d=1.05324e-23 t=42928
ju zhu ka 	居住卡	c=1 d=1.05852e-22 t=42928
ju zhu zheng 	居住證	c=6 d=1.40249e-22 t=42928
juan kuan 	捐款	c=1 d=3.397e-34 t=42928
jue de 	覺得	c=15 d=0.00012535 t=42928
jue ding 	決定	c=3 d=2.13559e-44 t=42928
jue wu 	覺悟	c=1 d=1.21271e-63 t=42928
jun 	均	c=1 d=2.79698e-71 t=42928
jun 	軍	c=1 d=2.16418e-24 t=42928
jun jie 	俊傑	c=1 d=2.49314e-71 t=42928
jun jing 	軍警	c=1 d=1.42686e-35 t=42928
jun ren 	軍人	c=2 d=3.74627e-85 t=42928
jun yun 	均勻	c=1 d=2.32135e-84 t=42928
jun zhi 	均值	c=2 d=1.91423e-32 t=42928
ka 	卡	c=8 d=0.0290835 t=42928
ka bu ka 	卡不卡	c=1 d=0.292293 t=42928
ka chu lai 	卡出來	c=1 d=4.91346e-82 t=42928
ka pi 	卡皮	c=1 d=2.38318e-11 t=42928
ka pian 	卡片	c=1 d=2.39513e-11 t=42928
kai 	開	c=30 d=0.00611279 t=42928
kai che 	開車	c=4 d=1.5182e-42 t=42928
kai chu 	開除	c=1 d=2.44393e-13 t=42928
kai dian 	開點	c=1 d=3.56267e-06 t=42928
kai fa 	開發	c=96 d=1.37212 t=42928
kai fa cheng ben 	開發成本	c=1 d=3.78426e-10 t=42928
kai fa liang 	開發量	c=1 d=1.10932e-44 t=42928
kai fa wan 	開發完	c=1 d=4.41017e-46 t=42928
kai fa wan cheng 	開發完成	c=1 d=2.22736e-39 t=42928
